コンピュータ概論　第9版, 情報処理I, 福田亜希子
応用解析　工科の数学, 解析学I, 鈴木達夫
システム工学ー問題発見・解決の方法ー, システム工学A, 全教員
SUCCESSFUL STEPS FOR THE TOEICR L&R TEST 　New Edition, 語学検定対策講座, 小林潤
500語マスターやさしい中国語, 中国語II, 呉守鋼
500語マスターやさしい中国語, 中国語I, 呉守鋼
eco検定公式テキスト　改訂9版, SDGsとサステナビリティ, 袖野玲子
ピエールとユゴー　コンパクト版, フランス語I, 本間幸代
身につくドイツ文法<Leicht>2, ドイツ語I, 菅谷優
新キャンパス独和辞典, ドイツ語I, 菅谷優
例題で学ぶ微分積分学, 微分積分I, 全教員
Q: Skills for Success2- Reading and Writing(2nd ed), English Basic Skills I, 全教員
Get Reading! 大学生のための読解演習と基本文法, English Remedial Course I, 全教員
Q: Skills for Success 3- Reading and Writing(2nd ed), English Advanced Skills I, 全教員
Technical English  Level 2 Course Book and eBook　(2nd Edition), English for Science and Technology (Basic Class), 木戸・土井・中村・真保・出淵
Technical English  Level 3 Course Book and eBook(2nd Edition), English for Science and Technology (Advanced Class), 小抜・オガワ・柳澤・吉村
Winning Presentation　動画で学ぶ英語プレゼンテーション, 理工系英語プレゼンテーション, 吉村建二郎
物理学基礎　Web動画付　第5版, 力学I, 多賀圭理
これだけはおさえたい!化学　改訂版　Primary大学テキスト, 化学I, 藤井靖之
医療と生命, 生命倫理概論, 中川雅博
共通テスト公共、倫理　集中講義　改訂版, 哲学?, 中川雅博
講義:線形代数　第2版, 線形代数I, 清水健一
ミクロ経済学の力, 経済学I, 小山友介
新Aクラス中学代数問題集　6訂版, 数学科指導法1, 高村真彦
論理・集合と位相空間入門, 数学基礎, 竹内慎吾
関数解析　基本と考え方, 関数解析, 竹内慎吾
はじめての制御工学　改訂第2版, 制御理論基礎, サイ貴生
曲線と曲面の微分幾何　改訂版, 幾何学I, 亀子正喜
集合と位相　増補新装版, 幾何学I, 亀子正喜
体とガロア理論(代数学3), 代数学III, 梶ヶ谷徹
わかりやすい数理計画法, 数理計画法, サイ貴生
